NUMH;AENC;TENC;TERH;MUNI;SEXO;LNAC;EDAD;NACI;LEST;ENRE;FOCU;SJUB;SILH;EMPTP;JRED;BUSQ;RBUSQ;JORB;GBUSQ;FBUSQ;MSBUSQ1;DISP;PRA1;PRA2;PROF;RACT;SPRO;SECT;CONTR;HTRA;PARE;ELEV
1;2023;2;1;2;6;2;17;1;:;N;N;4;3;;;N;;;;;;;4;7;;;;;;;2;126,8393
1;2023;2;1;2;1;2;17;1;:;N;N;2;1;;;N;;;;;;;4;4;7;2;4;2;;;1;121,6116
2;2023;2;20;9;1;1;3;1;:;S;;;;;;;;;;;;;;;;;;;;;3;153,3519
2;2023;2;20;9;1;1;10;1;:;N;N;4;1;1;2;N;;;;;;;1;2;5;10;4;1;1;40;1;168,334
2;2023;2;20;9;6;1;9;1;:;N;N;4;1;1;2;N;;;;;;;1;2;4;2;4;2;1;40;2;182,3688
2;2023;2;20;9;1;1;3;1;:;S;;;;;;;;;;;;;;;;;;;;;3;153,3519
3;2023;2;1;2;1;2;18;1;:;N;N;2;4;;;N;;;;;;;4;7;6;1;2;;;;1;318,2767
3;2023;2;1;2;6;3;12;2;:;N;N;4;1;1;2;N;;;;;;;1;1;5;10;4;2;1;80;4;233,0849
4;2023;2;1;9;6;1;16;1;:;N;N;4;1;;;N;;;;;;;4;4;6;1;5;;;;2;29,0613
4;2023;2;1;9;1;1;9;1;:;N;N;4;1;1;2;N;;;;;;;1;2;8;3;2;;;40;3;14,6122
4;2023;2;1;9;1;2;17;1;:;N;N;2;4;;;N;;;;;;;4;7;8;4;2;;;;1;27,8636
5;2023;2;20;3;6;1;13;1;:;N;N;4;1;1;2;N;;;;;;;1;2;3;7;2;;;40;2;123,1048
5;2023;2;20;3;1;1;14;1;:;N;N;2;4;;;N;;;;;;;4;7;7;4;2;;;;1;197,9546
6;2023;2;48;9;6;2;14;1;:;N;N;2;1;;;N;;;;;;;4;4;9;8;4;2;;;1;197,5532
7;2023;2;1;9;6;1;14;1;:;N;N;2;1;;;N;;;;;;;4;4;6;1;2;;;;1;31,2812
8;2023;2;20;9;6;2;13;1;:;N;N;4;1;;;N;;;;;;;4;4;4;8;4;2;;;2;162,6
8;2023;2;20;9;1;1;13;1;:;N;N;2;1;;;N;;;;;;;4;4;4;9;4;1;;;1;160,5543
9;2023;2;48;9;1;1;6;1;:;N;S;4;1;1;2;N;;;;;;;1;2;7;4;4;2;1;37;2;234,4952
