NUMH;AENC;TENC;TERH;MUNI;SEXO;LNAC;EDAD;NACI;LEST;ENRE;FOCU;SJUB;SILH;EMPTP;JRED;BUSQ;RBUSQ;JORB;GBUSQ;FBUSQ;MSBUSQ1;DISP;PRA1;PRA2;PROF;RACT;SPRO;SECT;CONTR;HTRA;PARE;ELEV
1;2023;3;01;2;1;2;14;1;:;N;N;2;1;;;N;;;;;;;4;04;7;02;4;2;;;1;351,85560
1;2023;3;01;2;6;1;07;1;:;N;N;4;2;2;2;S;3;2;S;03;27;S;1;02;5;10;4;2;1;25;3;236,87860
1;2023;3;01;2;6;1;13;1;:;N;N;4;1;;;N;;;;;;;4;04;9;10;2;;;;2;175,72040
2;2023;3;20;9;6;1;18;1;:;N;N;4;4;;;N;;;;;;;4;07;;;;;;;1;124,95710
2;2023;3;20;9;6;1;15;1;:;N;N;2;1;;;N;;;;;;;4;04;3;07;4;2;;;3;124,95710
3;2023;3;01;2;6;1;15;1;:;N;S;2;1;;;N;;;;;;;4;04;4;02;4;2;;;1;164,73900
4;2023;3;01;9;6;1;16;1;:;N;N;4;1;;;N;;;;;;;4;04;7;02;4;2;;;1;14,00350
5;2023;3;20;9;6;1;14;1;:;N;N;2;1;;;N;;;;;;;4;04;5;09;4;2;;;1;111,94010
5;2023;3;20;9;1;1;14;1;:;N;N;2;1;;;N;;;;;;;4;04;7;03;4;2;;;2;109,10510
6;2023;3;48;1;6;2;08;1;:;N;N;4;1;2;4;N;;;;;;;1;02;2;09;4;2;1;0;2;202,39140
6;2023;3;48;1;1;1;08;1;:;N;N;4;1;1;2;N;;;;;;;1;01;1;02;1;;;45;1;240,08410
7;2023;3;01;2;1;1;16;1;:;N;N;2;1;;;N;;;;;;;4;04;1;08;4;2;;;1;149,76050
7;2023;3;01;2;6;2;15;1;:;N;N;2;1;;;N;;;;;;;4;04;2;09;4;1;;;2;151,36940
8;2023;3;20;9;6;1;11;1;:;N;N;4;1;2;2;N;;;;;;;1;02;5;04;4;2;1;37;2;140,94180
8;2023;3;20;9;1;1;12;1;:;N;N;4;2;;;S;6;1;S;07;99;S;2;06;7;03;4;2;;;1;154,72640
8;2023;3;20;9;1;1;04;1;:;S;N;4;4;;;N;;;;;;;4;04;;;;;;;3;148,98600
9;2023;3;48;9;6;1;06;1;:;N;N;4;1;2;4;N;;;;;;;1;02;4;10;4;2;1;25;1;257,58940
10;2023;3;48;9;6;1;11;1;:;N;N;4;1;2;5;N;;;;;;;1;02;2;09;4;2;2;0;1;192,87430
11;2023;3;01;9;1;2;09;1;:;N;N;4;1;1;2;N;;;;;;;1;02;8;04;4;2;1;40;1;94,02950
11;2023;3;01;9;1;1;03;1;:;S;;;;;;;;;;;;;;;;;;;;;3;75,84600
11;2023;3;01;9;1;1;01;1;:;S;;;;;;;;;;;;;;;;;;;;;3;75,84600
11;2023;3;01;9;6;1;08;1;:;N;N;4;1;1;2;N;;;;;;;1;02;4;04;4;2;1;40;2;74,60260
12;2023;3;01;9;1;1;16;1;:;N;N;2;1;;;N;;;;;;;4;04;2;08;2;;;;1;49,30270
12;2023;3;01;9;6;1;16;1;:;N;N;4;1;;;N;;;;;;;4;04;8;02;4;2;;;2;49,83240
13;2023;3;01;9;6;1;06;1;:;N;N;4;2;1;2;N;;;;;;;1;02;3;09;4;2;1;35;3;60,39060
13;2023;3;01;9;6;1;11;1;:;N;N;4;1;1;2;N;;;;;;;1;02;9;02;4;2;2;40;1;43,71250
13;2023;3;01;9;6;1;05;1;:;S;N;4;2;;;N;;;;;;;4;04;;;;;;;3;44,85740
14;2023;3;48;9;1;2;08;1;:;N;S;4;3;1;2;N;;;;;;;1;02;3;09;4;1;4;35;2;188,59730
14;2023;3;48;9;6;1;11;1;:;S;N;4;1;1;2;N;;;;;;;1;01;1;05;1;;;60;1;167,58190
15;2023;3;48;9;6;1;11;1;:;N;N;4;1;1;4;N;;;;;;;1;02;4;09;4;1;5;0;1;204,77170
15;2023;3;48;9;6;1;03;1;:;S;N;4;2;;;N;;;;;;;;;;;;;;;3;173,09180
15;2023;3;48;9;1;1;11;1;:;N;N;4;1;1;2;N;;;;;;;1;02;8;08;4;2;1;35;2;193,93430
16;2023;3;20;9;6;2;13;1;:;N;N;4;1;;;N;;;;;;;4;04;9;10;4;2;;;2;141,14610
16;2023;3;20;9;1;2;14;1;:;N;N;2;1;;;N;;;;;;;4;04;7;03;2;;;;1;211,29530
16;2023;3;20;9;6;2;08;1;:;S;N;4;4;2;2;N;;;;;;;1;03;3;09;4;2;1;12;3;133,42650
17;2023;3;20;9;6;1;18;1;:;N;N;2;1;;;N;;;;;;;4;04;9;09;4;1;;;1;121,85180
18;2023;3;48;9;6;1;12;1;:;N;N;4;1;1;2;N;;;;;;;1;02;2;05;4;1;1;32;1;228,39360
19;2023;3;01;9;6;1;17;1;:;N;N;2;1;;;N;;;;;;;4;04;9;10;4;2;;;1;57,84670
20;2023;3;48;9;6;1;15;1;:;N;N;4;1;;;N;;;;;;;4;04;4;02;4;2;;;1;190,59810
21;2023;3;01;9;1;1;11;1;:;N;N;4;1;;;N;;;;;;;4;04;7;02;4;2;;;1;30,49610
22;2023;3;48;9;1;1;14;1;:;N;N;2;1;;;N;;;;;;;4;04;3;06;4;2;;;1;255,76710
22;2023;3;48;9;6;1;13;1;:;N;N;4;1;1;2;N;;;;;;;1;02;2;09;4;1;1;38;2;179,50570
23;2023;3;20;9;6;2;12;1;:;N;N;4;1;1;2;N;;;;;;;1;02;5;09;4;1;5;30;2;210,58330
23;2023;3;20;9;1;2;12;1;:;N;N;4;2;1;4;N;;;;;;;1;02;8;04;4;2;1;30;1;199,48000
